データコード,CO'COAEF0000011HCQ000000@,CO'COAEF0000012HCQ000000@,CO'COAEF0000014HCQ000000@,CO'COAEF0000016HCQ000000@,CO'COAEF0000017HCQ000000@,CO'COAEF0000018HCQ000000@
2014/03,1.1,1.8,2.1,1.5,1.7,1.7
2014/06,1.1,1.9,2.3,1.5,1.6,1.7
2014/09,1.1,1.8,2.1,1.5,1.6,1.7
2014/12,1  ,1.7,2  ,1.4,1.6,1.7
2015/03,0.9,1.7,2.2,1.4,1.6,1.6
2015/06,0.9,1.7,2.1,1.4,1.5,1.6
2015/09,0.7,1.4,1.8,1.2,1.4,1.5
2015/12,0.5,1.3,1.6,1  ,1.3,1.4
2016/03,0.3,1  ,1.3,0.8,1.1,1.2
2016/06,0.2,0.8,1.1,0.7,1.1,1.1
2016/09,0.2,0.8,1.1,0.6,1  ,1
2016/12,0.3,0.9,1.1,0.7,1  ,1.1
2017/03,0.4,0.9,1.1,0.7,1  ,1.1
2017/06,0.4,1  ,1.2,0.8,1.1,1.1
2017/09,0.5,1  ,1.2,0.7,1.1,1.1
2017/12,0.6,1.1,1.3,0.8,1.1,1.1
